year,itl22cd,nc_year,projected_proportion_continuing
2029,TLF2,year_group_10,1.00675719740018
2030,TLF2,year_group_10,1.00675719740018
2031,TLF2,year_group_10,1.00675719740018
2032,TLF2,year_group_10,1.00675719740018
2023,TLF3,year_group_10,0.998003876676756
2024,TLF3,year_group_10,0.998003876676756
2025,TLF3,year_group_10,0.998003876676756
2026,TLF3,year_group_10,0.998003876676756
2027,TLF3,year_group_10,0.998003876676756
2028,TLF3,year_group_10,0.998003876676756
2029,TLF3,year_group_10,0.998003876676756
2030,TLF3,year_group_10,0.998003876676756
2031,TLF3,year_group_10,0.998003876676756
2032,TLF3,year_group_10,0.998003876676756
2023,TLG1,year_group_10,0.993580859511262
2024,TLG1,year_group_10,0.993580859511262
2025,TLG1,year_group_10,0.993580859511262
2026,TLG1,year_group_10,0.993580859511262
2027,TLG1,year_group_10,0.993580859511262
2028,TLG1,year_group_10,0.993580859511262
2029,TLG1,year_group_10,0.993580859511262
2030,TLG1,year_group_10,0.993580859511262
2031,TLG1,year_group_10,0.993580859511262
2032,TLG1,year_group_10,0.993580859511262
2023,TLG2,year_group_10,0.995106330134279
2024,TLG2,year_group_10,0.995106330134279
2025,TLG2,year_group_10,0.995106330134279
2026,TLG2,year_group_10,0.995106330134279
2027,TLG2,year_group_10,0.995106330134279
2028,TLG2,year_group_10,0.995106330134279
2029,TLG2,year_group_10,0.995106330134279
2030,TLG2,year_group_10,0.995106330134279
2031,TLG2,year_group_10,0.995106330134279
2032,TLG2,year_group_10,0.995106330134279
2023,TLG3,year_group_10,1.00728535849135
2024,TLG3,year_group_10,1.00728535849135
2025,TLG3,year_group_10,1.00728535849135
2026,TLG3,year_group_10,1.00728535849135
2027,TLG3,year_group_10,1.00728535849135
2028,TLG3,year_group_10,1.00728535849135
2029,TLG3,year_group_10,1.00728535849135
2030,TLG3,year_group_10,1.00728535849135
2031,TLG3,year_group_10,1.00728535849135
2032,TLG3,year_group_10,1.00728535849135
2023,TLH1,year_group_10,0.999857119309709
2024,TLH1,year_group_10,0.999857119309709
2025,TLH1,year_group_10,0.999857119309709
2026,TLH1,year_group_10,0.999857119309709
2027,TLH1,year_group_10,0.999857119309709
2028,TLH1,year_group_10,0.999857119309709
2029,TLH1,year_group_10,0.999857119309709
2030,TLH1,year_group_10,0.999857119309709
2031,TLH1,year_group_10,0.999857119309709
2032,TLH1,year_group_10,0.999857119309709
2023,TLH2,year_group_10,1.0044728851143
2024,TLH2,year_group_10,1.0044728851143
2025,TLH2,year_group_10,1.0044728851143
2026,TLH2,year_group_10,1.0044728851143
2027,TLH2,year_group_10,1.0044728851143
2028,TLH2,year_group_10,1.0044728851143
2029,TLH2,year_group_10,1.0044728851143
2030,TLH2,year_group_10,1.0044728851143
2031,TLH2,year_group_10,1.0044728851143
2032,TLH2,year_group_10,1.0044728851143
2023,TLH3,year_group_10,0.998484618865342
2024,TLH3,year_group_10,0.998484618865342
2025,TLH3,year_group_10,0.998484618865342
2026,TLH3,year_group_10,0.998484618865342
2027,TLH3,year_group_10,0.998484618865342
2028,TLH3,year_group_10,0.998484618865342
2029,TLH3,year_group_10,0.998484618865342
2030,TLH3,year_group_10,0.998484618865342
2031,TLH3,year_group_10,0.998484618865342
2032,TLH3,year_group_10,0.998484618865342
2023,TLI3,year_group_10,1.00371083118843
2024,TLI3,year_group_10,1.00371083118843
2025,TLI3,year_group_10,1.00371083118843
2026,TLI3,year_group_10,1.00371083118843
2027,TLI3,year_group_10,1.00371083118843
2028,TLI3,year_group_10,1.00371083118843
2029,TLI3,year_group_10,1.00371083118843
2030,TLI3,year_group_10,1.00371083118843
2031,TLI3,year_group_10,1.00371083118843
2032,TLI3,year_group_10,1.00371083118843
2023,TLI4,year_group_10,1.00533552662427
2024,TLI4,year_group_10,1.00533552662427
2025,TLI4,year_group_10,1.00533552662427
2026,TLI4,year_group_10,1.00533552662427
2027,TLI4,year_group_10,1.00533552662427
2028,TLI4,year_group_10,1.00533552662427
2029,TLI4,year_group_10,1.00533552662427
2030,TLI4,year_group_10,1.00533552662427
2031,TLI4,year_group_10,1.00533552662427
2032,TLI4,year_group_10,1.00533552662427
2023,TLI5,year_group_10,1.00324173772637
2024,TLI5,year_group_10,1.00324173772637
2025,TLI5,year_group_10,1.00324173772637
2026,TLI5,year_group_10,1.00324173772637
2027,TLI5,year_group_10,1.00324173772637
2028,TLI5,year_group_10,1.00324173772637
2029,TLI5,year_group_10,1.00324173772637
2030,TLI5,year_group_10,1.00324173772637
2031,TLI5,year_group_10,1.00324173772637
2032,TLI5,year_group_10,1.00324173772637
2023,TLI6,year_group_10,1.00720355277986
2024,TLI6,year_group_10,1.00720355277986
2025,TLI6,year_group_10,1.00720355277986
2026,TLI6,year_group_10,1.00720355277986
2027,TLI6,year_group_10,1.00720355277986
2028,TLI6,year_group_10,1.00720355277986
2029,TLI6,year_group_10,1.00720355277986
2030,TLI6,year_group_10,1.00720355277986
2031,TLI6,year_group_10,1.00720355277986
2032,TLI6,year_group_10,1.00720355277986
2023,TLI7,year_group_10,1.01241110209456
2024,TLI7,year_group_10,1.01241110209456
2025,TLI7,year_group_10,1.01241110209456
2026,TLI7,year_group_10,1.01241110209456
2027,TLI7,year_group_10,1.01241110209456
2028,TLI7,year_group_10,1.01241110209456
2029,TLI7,year_group_10,1.01241110209456
2030,TLI7,year_group_10,1.01241110209456
2031,TLI7,year_group_10,1.01241110209456
2032,TLI7,year_group_10,1.01241110209456
2023,TLJ1,year_group_10,1.00405900435441
2024,TLJ1,year_group_10,1.00405900435441
2025,TLJ1,year_group_10,1.00405900435441
2026,TLJ1,year_group_10,1.00405900435441
2027,TLJ1,year_group_10,1.00405900435441
2028,TLJ1,year_group_10,1.00405900435441
2029,TLJ1,year_group_10,1.00405900435441
2030,TLJ1,year_group_10,1.00405900435441
2031,TLJ1,year_group_10,1.00405900435441
2032,TLJ1,year_group_10,1.00405900435441
2023,TLJ2,year_group_10,1.00233856098785
2024,TLJ2,year_group_10,1.00233856098785
2025,TLJ2,year_group_10,1.00233856098785
2026,TLJ2,year_group_10,1.00233856098785
2027,TLJ2,year_group_10,1.00233856098785
2028,TLJ2,year_group_10,1.00233856098785
2029,TLJ2,year_group_10,1.00233856098785
2030,TLJ2,year_group_10,1.00233856098785
2031,TLJ2,year_group_10,1.00233856098785
2032,TLJ2,year_group_10,1.00233856098785
2023,TLJ3,year_group_10,0.999140468606386
2024,TLJ3,year_group_10,0.999140468606386
2025,TLJ3,year_group_10,0.999140468606386
2026,TLJ3,year_group_10,0.999140468606386
2027,TLJ3,year_group_10,0.999140468606386
2028,TLJ3,year_group_10,0.999140468606386
2029,TLJ3,year_group_10,0.999140468606386
2030,TLJ3,year_group_10,0.999140468606386
2031,TLJ3,year_group_10,0.999140468606386
2032,TLJ3,year_group_10,0.999140468606386
2023,TLJ4,year_group_10,0.993644258495078
2024,TLJ4,year_group_10,0.993644258495078
2025,TLJ4,year_group_10,0.993644258495078
2026,TLJ4,year_group_10,0.993644258495078
2027,TLJ4,year_group_10,0.993644258495078
2028,TLJ4,year_group_10,0.993644258495078
2029,TLJ4,year_group_10,0.993644258495078
2030,TLJ4,year_group_10,0.993644258495078
2031,TLJ4,year_group_10,0.993644258495078
2032,TLJ4,year_group_10,0.993644258495078
