year_lag1,itl221cd,current_nc_year,previous_nc_year,previous_headcount
2012,TLC1,reception,,13513
2013,TLC1,reception,,13891
2014,TLC1,reception,,13530
2015,TLC1,reception,,14087
2016,TLC1,reception,,14405
2017,TLC1,reception,,14232
2018,TLC1,reception,,13961
2019,TLC1,reception,,13603
2020,TLC1,reception,,13352
2021,TLC1,reception,,13209
2022,TLC1,reception,,12900
2023,TLC1,reception,,12786
2012,TLD7,reception,,16557
2013,TLD7,reception,,17174
2014,TLD7,reception,,16937
2015,TLD7,reception,,17207
2016,TLD7,reception,,17660
2017,TLD7,reception,,18044
2018,TLD7,reception,,17426
2019,TLD7,reception,,17319
2020,TLD7,reception,,17473
2021,TLD7,reception,,17312
2022,TLD7,reception,,17388
2023,TLD7,reception,,16896
2012,TLD6,reception,,10071
2013,TLD6,reception,,10502
2014,TLD6,reception,,10192
2015,TLD6,reception,,10515
2016,TLD6,reception,,10681
2017,TLD6,reception,,10726
2018,TLD6,reception,,10327
2019,TLD6,reception,,10265
2020,TLD6,reception,,10312
2021,TLD6,reception,,10267
2022,TLD6,reception,,10106
2023,TLD6,reception,,10088
2012,TLD4,reception,,17098
2013,TLD4,reception,,17564
2014,TLD4,reception,,17459
2015,TLD4,reception,,17575
2016,TLD4,reception,,17958
2017,TLD4,reception,,17839
2018,TLD4,reception,,17667
2019,TLD4,reception,,17350
2020,TLD4,reception,,17387
2021,TLD4,reception,,17290
2022,TLD4,reception,,16933
2023,TLD4,reception,,16521
2012,TLE1,reception,,10328
2013,TLE1,reception,,10522
2014,TLE1,reception,,10529
2015,TLE1,reception,,10715
2016,TLE1,reception,,10790
2017,TLE1,reception,,11227
2018,TLE1,reception,,10777
2019,TLE1,reception,,10265
2020,TLE1,reception,,10456
2021,TLE1,reception,,10153
2022,TLE1,reception,,10019
2023,TLE1,reception,,9853
2012,TLE2,reception,,7679
2013,TLE2,reception,,8186
2014,TLE2,reception,,7959
2015,TLE2,reception,,8093
2016,TLE2,reception,,8194
2017,TLE2,reception,,8098
2018,TLE2,reception,,7917
2019,TLE2,reception,,7867
2020,TLE2,reception,,7729
2021,TLE2,reception,,7745
2022,TLE2,reception,,7575
2023,TLE2,reception,,7400
2012,TLF1,reception,,23844
2013,TLF1,reception,,24839
2014,TLF1,reception,,24711
2015,TLF1,reception,,24937
2016,TLF1,reception,,25604
2017,TLF1,reception,,25693
2018,TLF1,reception,,24825
2019,TLF1,reception,,24379
2020,TLF1,reception,,24339
2021,TLF1,reception,,24226
2022,TLF1,reception,,23707
2023,TLF1,reception,,23123
2012,TLF2,reception,,20500
2013,TLF2,reception,,21149
2014,TLF2,reception,,21171
2015,TLF2,reception,,21738
2016,TLF2,reception,,22429
2017,TLF2,reception,,22472
2018,TLF2,reception,,22099
2019,TLF2,reception,,21696
2020,TLF2,reception,,21952
2021,TLF2,reception,,21716
2022,TLF2,reception,,21213
2023,TLF2,reception,,21221
2012,TLG1,reception,,13801
2013,TLG1,reception,,14037
2014,TLG1,reception,,13953
2015,TLG1,reception,,14331
2016,TLG1,reception,,14813
2017,TLG1,reception,,14914
2018,TLG1,reception,,14715
2019,TLG1,reception,,14324
2020,TLG1,reception,,14281
2021,TLG1,reception,,14204
2022,TLG1,reception,,14007
2023,TLG1,reception,,14230
2012,TLG2,reception,,17185
2013,TLG2,reception,,17748
2014,TLG2,reception,,17391
2015,TLG2,reception,,17545
2016,TLG2,reception,,18100
2017,TLG2,reception,,18022
2018,TLG2,reception,,17958
2019,TLG2,reception,,17697
2020,TLG2,reception,,17249
2021,TLG2,reception,,17491
2022,TLG2,reception,,17199
2023,TLG2,reception,,17074
2012,TLK1,reception,,26176
2013,TLK1,reception,,27381
2014,TLK1,reception,,27114
2015,TLK1,reception,,28069
2016,TLK1,reception,,28817
2017,TLK1,reception,,28979
2018,TLK1,reception,,28353
2019,TLK1,reception,,27678
2020,TLK1,reception,,27582
2021,TLK1,reception,,27565
2022,TLK1,reception,,26746
2023,TLK1,reception,,26487
2012,TLK4,reception,,11547
2013,TLK4,reception,,11677
2014,TLK4,reception,,11941
2015,TLK4,reception,,12064
2016,TLK4,reception,,12559
2017,TLK4,reception,,12578
2018,TLK4,reception,,12092
2019,TLK4,reception,,12064
2020,TLK4,reception,,11732
2021,TLK4,reception,,11643
2022,TLK4,reception,,11353
2023,TLK4,reception,,11242
2012,TLH1,reception,,25795
2013,TLH1,reception,,26776
2014,TLH1,reception,,26849
2015,TLH1,reception,,27273
2016,TLH1,reception,,28151
2017,TLH1,reception,,28426
2018,TLH1,reception,,27610
2019,TLH1,reception,,26833
2020,TLH1,reception,,27020
2021,TLH1,reception,,26720
2022,TLH1,reception,,26021
2023,TLH1,reception,,25766
2012,TLH2,reception,,21791
2013,TLH2,reception,,22965
2014,TLH2,reception,,22736
2015,TLH2,reception,,23442
2016,TLH2,reception,,24214
2017,TLH2,reception,,23961
2018,TLH2,reception,,23376
2019,TLH2,reception,,23088
2020,TLH2,reception,,22965
2021,TLH2,reception,,23129
2022,TLH2,reception,,22846
2023,TLH2,reception,,22794
2012,TLH3,reception,,19786
2013,TLH3,reception,,20385
2014,TLH3,reception,,20458
2015,TLH3,reception,,20961
2016,TLH3,reception,,21407
2017,TLH3,reception,,21572
2018,TLH3,reception,,21255
2019,TLH3,reception,,21210
2020,TLH3,reception,,21209
2021,TLH3,reception,,21378
2022,TLH3,reception,,21293
2023,TLH3,reception,,21171
2012,TLJ4,reception,,19708
2013,TLJ4,reception,,20251
2014,TLJ4,reception,,20640
2015,TLJ4,reception,,20942
2016,TLJ4,reception,,21431
2017,TLJ4,reception,,21952
2018,TLJ4,reception,,21204
2019,TLJ4,reception,,21075
2020,TLJ4,reception,,21122
2021,TLJ4,reception,,21257
2022,TLJ4,reception,,21288
2023,TLJ4,reception,,21296
2012,TLJ1,reception,,27256
2013,TLJ1,reception,,28787
2014,TLJ1,reception,,28428
2015,TLJ1,reception,,29258
2016,TLJ1,reception,,30172
2017,TLJ1,reception,,29869
2018,TLJ1,reception,,29062
2019,TLJ1,reception,,28100
2020,TLJ1,reception,,28310
2021,TLJ1,reception,,28516
2022,TLJ1,reception,,27912
2023,TLJ1,reception,,28071
2012,TLJ2,reception,,29098
2013,TLJ2,reception,,30195
2014,TLJ2,reception,,29991
2015,TLJ2,reception,,30681
2016,TLJ2,reception,,31339
2017,TLJ2,reception,,31374
2018,TLJ2,reception,,30184
2019,TLJ2,reception,,29718
2020,TLJ2,reception,,29769
2021,TLJ2,reception,,29580
2022,TLJ2,reception,,28790
2023,TLJ2,reception,,28839
2012,TLJ3,reception,,20668
2013,TLJ3,reception,,21352
2014,TLJ3,reception,,21229
2015,TLJ3,reception,,21768
2016,TLJ3,reception,,22503
2017,TLJ3,reception,,22549
2018,TLJ3,reception,,21886
2019,TLJ3,reception,,21510
2020,TLJ3,reception,,21445
2021,TLJ3,reception,,21210
2022,TLJ3,reception,,20559
2023,TLJ3,reception,,20264
2012,TLK3,reception,,5463
2013,TLK3,reception,,5466
2014,TLK3,reception,,5628
2015,TLK3,reception,,5671
2016,TLK3,reception,,6007
2017,TLK3,reception,,6026
2018,TLK3,reception,,5937
2019,TLK3,reception,,5697
2020,TLK3,reception,,5653
2021,TLK3,reception,,5540
2022,TLK3,reception,,5386
2023,TLK3,reception,,5270
2012,TLC2,reception,,15055
2013,TLC2,reception,,15718
2014,TLC2,reception,,15546
2015,TLC2,reception,,15635
2016,TLC2,reception,,16023
2017,TLC2,reception,,16040
2018,TLC2,reception,,15539
2019,TLC2,reception,,15209
2020,TLC2,reception,,15110
2021,TLC2,reception,,15407
2022,TLC2,reception,,14784
2023,TLC2,reception,,14780
2012,TLK2,reception,,12543
2013,TLK2,reception,,13143
2014,TLK2,reception,,13130
2015,TLK2,reception,,13456
2016,TLK2,reception,,13718
2017,TLK2,reception,,13669
2018,TLK2,reception,,13221
2019,TLK2,reception,,13074
2020,TLK2,reception,,12893
2021,TLK2,reception,,12789
2022,TLK2,reception,,12556
2023,TLK2,reception,,12219
2012,TLD1,reception,,4966
2013,TLD1,reception,,5057
2014,TLD1,reception,,5076
2015,TLD1,reception,,5070
2016,TLD1,reception,,5142
2017,TLD1,reception,,5047
2018,TLD1,reception,,5041
2019,TLD1,reception,,4886
2020,TLD1,reception,,4911
2021,TLD1,reception,,4902
2022,TLD1,reception,,4785
2023,TLD1,reception,,4524
2012,TLF3,reception,,7233
2013,TLF3,reception,,7855
2014,TLF3,reception,,7690
2015,TLF3,reception,,7955
2016,TLF3,reception,,8099
2017,TLF3,reception,,8092
2018,TLF3,reception,,7755
2019,TLF3,reception,,7905
2020,TLF3,reception,,7770
2021,TLF3,reception,,7688
2022,TLF3,reception,,7522
2023,TLF3,reception,,7337
2012,TLD3,reception,,33564
2013,TLD3,reception,,34723
2014,TLD3,reception,,35194
2015,TLD3,reception,,35791
2016,TLD3,reception,,36487
2017,TLD3,reception,,36729
2018,TLD3,reception,,36195
2019,TLD3,reception,,35433
2020,TLD3,reception,,35557
2021,TLD3,reception,,35198
2022,TLD3,reception,,34674
2023,TLD3,reception,,34041
2012,TLE3,reception,,15401
2013,TLE3,reception,,15987
2014,TLE3,reception,,15947
2015,TLE3,reception,,16259
2016,TLE3,reception,,16506
2017,TLE3,reception,,16568
2018,TLE3,reception,,16165
2019,TLE3,reception,,15655
2020,TLE3,reception,,15739
2021,TLE3,reception,,15606
2022,TLE3,reception,,15666
2023,TLE3,reception,,15376
2012,TLG3,reception,,35679
2013,TLG3,reception,,37277
2014,TLG3,reception,,37251
2015,TLG3,reception,,37792
2016,TLG3,reception,,39466
2017,TLG3,reception,,39857
2018,TLG3,reception,,39134
2019,TLG3,reception,,38269
2020,TLG3,reception,,37733
2021,TLG3,reception,,37553
2022,TLG3,reception,,36993
2023,TLG3,reception,,36521
2012,TLE4,reception,,28111
2013,TLE4,reception,,29151
2014,TLE4,reception,,29444
2015,TLE4,reception,,30392
2016,TLE4,reception,,30286
2017,TLE4,reception,,30420
2018,TLE4,reception,,29726
2019,TLE4,reception,,29390
2020,TLE4,reception,,29187
2021,TLE4,reception,,28971
2022,TLE4,reception,,28566
2023,TLE4,reception,,27903
2012,TLI3,reception,,8481
2013,TLI3,reception,,8488
2014,TLI3,reception,,8581
2015,TLI3,reception,,8746
2016,TLI3,reception,,8665
2017,TLI3,reception,,8496
2018,TLI3,reception,,8199
2019,TLI3,reception,,7858
2020,TLI3,reception,,7845
2021,TLI3,reception,,7694
2022,TLI3,reception,,7405
2023,TLI3,reception,,7078
2012,TLI5,reception,,24534
2013,TLI5,reception,,25552
2014,TLI5,reception,,25236
2015,TLI5,reception,,25998
2016,TLI5,reception,,26584
2017,TLI5,reception,,26816
2018,TLI5,reception,,26020
2019,TLI5,reception,,25127
2020,TLI5,reception,,25619
2021,TLI5,reception,,25426
2022,TLI5,reception,,24791
2023,TLI5,reception,,24623
2012,TLI7,reception,,23856
2013,TLI7,reception,,25389
2014,TLI7,reception,,25329
2015,TLI7,reception,,26146
2016,TLI7,reception,,26460
2017,TLI7,reception,,26325
2018,TLI7,reception,,25403
2019,TLI7,reception,,24897
2020,TLI7,reception,,24807
2021,TLI7,reception,,24329
2022,TLI7,reception,,23975
2023,TLI7,reception,,23914
2012,TLI6,reception,,15091
2013,TLI6,reception,,15686
2014,TLI6,reception,,15606
2015,TLI6,reception,,16083
2016,TLI6,reception,,16185
2017,TLI6,reception,,16051
2018,TLI6,reception,,15529
2019,TLI6,reception,,15157
2020,TLI6,reception,,15372
2021,TLI6,reception,,15209
2022,TLI6,reception,,14766
2023,TLI6,reception,,14505
2012,TLI4,reception,,25819
2013,TLI4,reception,,26922
2014,TLI4,reception,,26572
2015,TLI4,reception,,27128
2016,TLI4,reception,,27181
2017,TLI4,reception,,26776
2018,TLI4,reception,,26015
2019,TLI4,reception,,25347
2020,TLI4,reception,,25092
2021,TLI4,reception,,24459
2022,TLI4,reception,,23982
2023,TLI4,reception,,23203
2012,TLC1,year_group_1,reception,13467
2013,TLC1,year_group_1,reception,13508
2014,TLC1,year_group_1,reception,13916
2015,TLC1,year_group_1,reception,13512
2016,TLC1,year_group_1,reception,14218
2017,TLC1,year_group_1,reception,14476
2018,TLC1,year_group_1,reception,14257
2019,TLC1,year_group_1,reception,13982
2020,TLC1,year_group_1,reception,13606
2021,TLC1,year_group_1,reception,13312
2022,TLC1,year_group_1,reception,13359
2023,TLC1,year_group_1,reception,13049
2012,TLD7,year_group_1,reception,16590
2013,TLD7,year_group_1,reception,16524
2014,TLD7,year_group_1,reception,17296
2015,TLD7,year_group_1,reception,16966
2016,TLD7,year_group_1,reception,17294
2017,TLD7,year_group_1,reception,17727
2018,TLD7,year_group_1,reception,18040
2019,TLD7,year_group_1,reception,17526
2020,TLD7,year_group_1,reception,17357
2021,TLD7,year_group_1,reception,17486
2022,TLD7,year_group_1,reception,17499
2023,TLD7,year_group_1,reception,17609
2012,TLD6,year_group_1,reception,9825
2013,TLD6,year_group_1,reception,10115
2014,TLD6,year_group_1,reception,10576
2015,TLD6,year_group_1,reception,10280
2016,TLD6,year_group_1,reception,10632
2017,TLD6,year_group_1,reception,10784
2018,TLD6,year_group_1,reception,10845
2019,TLD6,year_group_1,reception,10448
2020,TLD6,year_group_1,reception,10360
2021,TLD6,year_group_1,reception,10329
2022,TLD6,year_group_1,reception,10509
2023,TLD6,year_group_1,reception,10401
2012,TLD4,year_group_1,reception,16597
2013,TLD4,year_group_1,reception,17132
2014,TLD4,year_group_1,reception,17627
2015,TLD4,year_group_1,reception,17682
2016,TLD4,year_group_1,reception,17657
2017,TLD4,year_group_1,reception,18073
2018,TLD4,year_group_1,reception,17935
2019,TLD4,year_group_1,reception,17769
2020,TLD4,year_group_1,reception,17472
2021,TLD4,year_group_1,reception,17484
2022,TLD4,year_group_1,reception,17521
2023,TLD4,year_group_1,reception,17232
2012,TLE1,year_group_1,reception,9976
2013,TLE1,year_group_1,reception,10374
2014,TLE1,year_group_1,reception,10598
2015,TLE1,year_group_1,reception,10578
2016,TLE1,year_group_1,reception,10781
2017,TLE1,year_group_1,reception,10859
2018,TLE1,year_group_1,reception,11294
2019,TLE1,year_group_1,reception,10820
2020,TLE1,year_group_1,reception,10345
2021,TLE1,year_group_1,reception,10500
2022,TLE1,year_group_1,reception,10328
2023,TLE1,year_group_1,reception,10154
2012,TLE2,year_group_1,reception,7817
2013,TLE2,year_group_1,reception,7695
2014,TLE2,year_group_1,reception,8181
2015,TLE2,year_group_1,reception,7982
2016,TLE2,year_group_1,reception,8196
2017,TLE2,year_group_1,reception,8220
2018,TLE2,year_group_1,reception,8149
2019,TLE2,year_group_1,reception,7957
2020,TLE2,year_group_1,reception,7901
2021,TLE2,year_group_1,reception,7724
2022,TLE2,year_group_1,reception,7815
2023,TLE2,year_group_1,reception,7699
2012,TLF1,year_group_1,reception,22885
2013,TLF1,year_group_1,reception,23559
2014,TLF1,year_group_1,reception,24621
2015,TLF1,year_group_1,reception,24613
2016,TLF1,year_group_1,reception,25162
2017,TLF1,year_group_1,reception,25774
2018,TLF1,year_group_1,reception,25930
2019,TLF1,year_group_1,reception,25090
2020,TLF1,year_group_1,reception,24549
2021,TLF1,year_group_1,reception,24385
2022,TLF1,year_group_1,reception,24636
2023,TLF1,year_group_1,reception,24320
2012,TLF2,year_group_1,reception,20027
2013,TLF2,year_group_1,reception,20742
2014,TLF2,year_group_1,reception,21496
2015,TLF2,year_group_1,reception,21519
2016,TLF2,year_group_1,reception,22195
2017,TLF2,year_group_1,reception,22787
2018,TLF2,year_group_1,reception,22695
2019,TLF2,year_group_1,reception,22326
2020,TLF2,year_group_1,reception,21859
2021,TLF2,year_group_1,reception,22018
2022,TLF2,year_group_1,reception,22013
2023,TLF2,year_group_1,reception,21680
2012,TLG1,year_group_1,reception,13317
2013,TLG1,year_group_1,reception,13919
2014,TLG1,year_group_1,reception,14130
2015,TLG1,year_group_1,reception,14114
2016,TLG1,year_group_1,reception,14496
2017,TLG1,year_group_1,reception,14964
2018,TLG1,year_group_1,reception,14974
2019,TLG1,year_group_1,reception,14772
2020,TLG1,year_group_1,reception,14385
2021,TLG1,year_group_1,reception,14362
2022,TLG1,year_group_1,reception,14427
2023,TLG1,year_group_1,reception,14292
2012,TLG2,year_group_1,reception,16378
2013,TLG2,year_group_1,reception,17247
2014,TLG2,year_group_1,reception,17908
2015,TLG2,year_group_1,reception,17499
2016,TLG2,year_group_1,reception,17720
2017,TLG2,year_group_1,reception,18268
2018,TLG2,year_group_1,reception,18166
2019,TLG2,year_group_1,reception,18091
2020,TLG2,year_group_1,reception,17835
2021,TLG2,year_group_1,reception,17290
2022,TLG2,year_group_1,reception,17733
2023,TLG2,year_group_1,reception,17533
2012,TLK1,year_group_1,reception,25190
2013,TLK1,year_group_1,reception,26319
2014,TLK1,year_group_1,reception,27514
2015,TLK1,year_group_1,reception,27373
2016,TLK1,year_group_1,reception,28269
2017,TLK1,year_group_1,reception,28944
2018,TLK1,year_group_1,reception,28912
2019,TLK1,year_group_1,reception,28310
2020,TLK1,year_group_1,reception,27843
2021,TLK1,year_group_1,reception,27427
2022,TLK1,year_group_1,reception,27624
2023,TLK1,year_group_1,reception,27111
2012,TLK4,year_group_1,reception,11304
2013,TLK4,year_group_1,reception,11637
2014,TLK4,year_group_1,reception,11836
2015,TLK4,year_group_1,reception,12130
2016,TLK4,year_group_1,reception,12175
2017,TLK4,year_group_1,reception,12658
2018,TLK4,year_group_1,reception,12710
2019,TLK4,year_group_1,reception,12198
2020,TLK4,year_group_1,reception,12132
2021,TLK4,year_group_1,reception,11777
2022,TLK4,year_group_1,reception,11812
2023,TLK4,year_group_1,reception,11579
2012,TLH1,year_group_1,reception,24753
2013,TLH1,year_group_1,reception,26083
2014,TLH1,year_group_1,reception,27182
2015,TLH1,year_group_1,reception,27078
2016,TLH1,year_group_1,reception,27482
2017,TLH1,year_group_1,reception,28252
2018,TLH1,year_group_1,reception,28580
2019,TLH1,year_group_1,reception,27746
2020,TLH1,year_group_1,reception,26954
2021,TLH1,year_group_1,reception,26913
2022,TLH1,year_group_1,reception,27017
2023,TLH1,year_group_1,reception,26476
2012,TLH2,year_group_1,reception,21181
2013,TLH2,year_group_1,reception,21970
2014,TLH2,year_group_1,reception,23185
2015,TLH2,year_group_1,reception,22986
2016,TLH2,year_group_1,reception,23650
2017,TLH2,year_group_1,reception,24201
2018,TLH2,year_group_1,reception,23894
2019,TLH2,year_group_1,reception,23360
2020,TLH2,year_group_1,reception,23216
2021,TLH2,year_group_1,reception,22917
2022,TLH2,year_group_1,reception,23308
2023,TLH2,year_group_1,reception,23131
2012,TLH3,year_group_1,reception,19238
2013,TLH3,year_group_1,reception,19900
2014,TLH3,year_group_1,reception,20600
2015,TLH3,year_group_1,reception,20750
2016,TLH3,year_group_1,reception,21255
2017,TLH3,year_group_1,reception,21572
2018,TLH3,year_group_1,reception,21735
2019,TLH3,year_group_1,reception,21382
2020,TLH3,year_group_1,reception,21361
2021,TLH3,year_group_1,reception,21256
2022,TLH3,year_group_1,reception,21575
2023,TLH3,year_group_1,reception,21736
2012,TLJ4,year_group_1,reception,19292
2013,TLJ4,year_group_1,reception,19898
2014,TLJ4,year_group_1,reception,20541
2015,TLJ4,year_group_1,reception,20956
2016,TLJ4,year_group_1,reception,21218
2017,TLJ4,year_group_1,reception,21737
2018,TLJ4,year_group_1,reception,22179
2019,TLJ4,year_group_1,reception,21460
2020,TLJ4,year_group_1,reception,21214
2021,TLJ4,year_group_1,reception,21214
2022,TLJ4,year_group_1,reception,21688
2023,TLJ4,year_group_1,reception,21756
2012,TLJ1,year_group_1,reception,26462
2013,TLJ1,year_group_1,reception,27546
2014,TLJ1,year_group_1,reception,29016
2015,TLJ1,year_group_1,reception,28633
2016,TLJ1,year_group_1,reception,29515
2017,TLJ1,year_group_1,reception,30322
2018,TLJ1,year_group_1,reception,29902
2019,TLJ1,year_group_1,reception,29134
2020,TLJ1,year_group_1,reception,28421
2021,TLJ1,year_group_1,reception,28383
2022,TLJ1,year_group_1,reception,28869
2023,TLJ1,year_group_1,reception,28654
2012,TLJ2,year_group_1,reception,28093
2013,TLJ2,year_group_1,reception,29341
2014,TLJ2,year_group_1,reception,30354
2015,TLJ2,year_group_1,reception,30152
2016,TLJ2,year_group_1,reception,30870
2017,TLJ2,year_group_1,reception,31526
2018,TLJ2,year_group_1,reception,31409
2019,TLJ2,year_group_1,reception,30230
2020,TLJ2,year_group_1,reception,29849
2021,TLJ2,year_group_1,reception,29674
2022,TLJ2,year_group_1,reception,29807
2023,TLJ2,year_group_1,reception,29213
2012,TLJ3,year_group_1,reception,20100
2013,TLJ3,year_group_1,reception,20774
2014,TLJ3,year_group_1,reception,21460
2015,TLJ3,year_group_1,reception,21318
2016,TLJ3,year_group_1,reception,21889
2017,TLJ3,year_group_1,reception,22570
2018,TLJ3,year_group_1,reception,22536
2019,TLJ3,year_group_1,reception,21887
2020,TLJ3,year_group_1,reception,21591
2021,TLJ3,year_group_1,reception,21456
2022,TLJ3,year_group_1,reception,21412
2023,TLJ3,year_group_1,reception,20943
2012,TLK3,year_group_1,reception,5335
2013,TLK3,year_group_1,reception,5517
2014,TLK3,year_group_1,reception,5520
2015,TLK3,year_group_1,reception,5707
2016,TLK3,year_group_1,reception,5758
2017,TLK3,year_group_1,reception,6097
2018,TLK3,year_group_1,reception,6077
2019,TLK3,year_group_1,reception,6004
2020,TLK3,year_group_1,reception,5783
2021,TLK3,year_group_1,reception,5727
2022,TLK3,year_group_1,reception,5606
2023,TLK3,year_group_1,reception,5491
2012,TLC2,year_group_1,reception,14965
2013,TLC2,year_group_1,reception,15066
2014,TLC2,year_group_1,reception,15769
2015,TLC2,year_group_1,reception,15634
2016,TLC2,year_group_1,reception,15690
2017,TLC2,year_group_1,reception,16065
2018,TLC2,year_group_1,reception,16080
2019,TLC2,year_group_1,reception,15578
2020,TLC2,year_group_1,reception,15271
2021,TLC2,year_group_1,reception,15077
2022,TLC2,year_group_1,reception,15514
2023,TLC2,year_group_1,reception,15054
2012,TLK2,year_group_1,reception,12150
2013,TLK2,year_group_1,reception,12700
2014,TLK2,year_group_1,reception,13310
2015,TLK2,year_group_1,reception,13284
2016,TLK2,year_group_1,reception,13627
2017,TLK2,year_group_1,reception,13807
2018,TLK2,year_group_1,reception,13788
2019,TLK2,year_group_1,reception,13279
2020,TLK2,year_group_1,reception,13090
2021,TLK2,year_group_1,reception,12880
2022,TLK2,year_group_1,reception,13011
2023,TLK2,year_group_1,reception,12777
2012,TLD1,year_group_1,reception,4925
2013,TLD1,year_group_1,reception,4989
2014,TLD1,year_group_1,reception,5067
2015,TLD1,year_group_1,reception,5165
2016,TLD1,year_group_1,reception,5144
2017,TLD1,year_group_1,reception,5171
2018,TLD1,year_group_1,reception,5028
2019,TLD1,year_group_1,reception,5060
2020,TLD1,year_group_1,reception,4924
2021,TLD1,year_group_1,reception,4892
2022,TLD1,year_group_1,reception,4954
2023,TLD1,year_group_1,reception,4836
2012,TLF3,year_group_1,reception,7189
2013,TLF3,year_group_1,reception,7331
2014,TLF3,year_group_1,reception,7965
2015,TLF3,year_group_1,reception,7812
2016,TLF3,year_group_1,reception,8056
2017,TLF3,year_group_1,reception,8188
2018,TLF3,year_group_1,reception,8139
2019,TLF3,year_group_1,reception,7789
2020,TLF3,year_group_1,reception,7952
2021,TLF3,year_group_1,reception,7793
2022,TLF3,year_group_1,reception,7844
2023,TLF3,year_group_1,reception,7703
2012,TLD3,year_group_1,reception,32779
2013,TLD3,year_group_1,reception,33732
2014,TLD3,year_group_1,reception,35042
2015,TLD3,year_group_1,reception,35631
2016,TLD3,year_group_1,reception,36259
2017,TLD3,year_group_1,reception,36874
2018,TLD3,year_group_1,reception,36955
2019,TLD3,year_group_1,reception,36476
2020,TLD3,year_group_1,reception,35671
2021,TLD3,year_group_1,reception,35535
2022,TLD3,year_group_1,reception,35795
2023,TLD3,year_group_1,reception,35367
2012,TLE3,year_group_1,reception,14987
2013,TLE3,year_group_1,reception,15538
2014,TLE3,year_group_1,reception,16222
2015,TLE3,year_group_1,reception,16205
2016,TLE3,year_group_1,reception,16465
2017,TLE3,year_group_1,reception,16625
2018,TLE3,year_group_1,reception,16703
2019,TLE3,year_group_1,reception,16297
2020,TLE3,year_group_1,reception,15774
2021,TLE3,year_group_1,reception,15746
2022,TLE3,year_group_1,reception,15946
2023,TLE3,year_group_1,reception,16042
2012,TLG3,year_group_1,reception,35116
2013,TLG3,year_group_1,reception,36059
2014,TLG3,year_group_1,reception,37847
2015,TLG3,year_group_1,reception,37788
2016,TLG3,year_group_1,reception,38326
2017,TLG3,year_group_1,reception,40080
2018,TLG3,year_group_1,reception,40212
2019,TLG3,year_group_1,reception,39431
2020,TLG3,year_group_1,reception,38550
2021,TLG3,year_group_1,reception,37684
2022,TLG3,year_group_1,reception,38325
2023,TLG3,year_group_1,reception,38045
2012,TLE4,year_group_1,reception,27912
2013,TLE4,year_group_1,reception,28215
2014,TLE4,year_group_1,reception,29498
2015,TLE4,year_group_1,reception,29808
2016,TLE4,year_group_1,reception,30679
2017,TLE4,year_group_1,reception,30562
2018,TLE4,year_group_1,reception,30591
2019,TLE4,year_group_1,reception,29940
2020,TLE4,year_group_1,reception,29561
2021,TLE4,year_group_1,reception,29155
2022,TLE4,year_group_1,reception,29445
2023,TLE4,year_group_1,reception,29214
2012,TLI3,year_group_1,reception,8115
2013,TLI3,year_group_1,reception,8377
2014,TLI3,year_group_1,reception,8423
2015,TLI3,year_group_1,reception,8543
2016,TLI3,year_group_1,reception,8633
2017,TLI3,year_group_1,reception,8558
2018,TLI3,year_group_1,reception,8345
2019,TLI3,year_group_1,reception,8059
2020,TLI3,year_group_1,reception,7681
2021,TLI3,year_group_1,reception,7556
2022,TLI3,year_group_1,reception,7579
2023,TLI3,year_group_1,reception,7317
2012,TLI5,year_group_1,reception,23423
2013,TLI5,year_group_1,reception,24828
2014,TLI5,year_group_1,reception,25886
2015,TLI5,year_group_1,reception,25620
2016,TLI5,year_group_1,reception,26310
2017,TLI5,year_group_1,reception,26606
2018,TLI5,year_group_1,reception,26792
2019,TLI5,year_group_1,reception,26046
2020,TLI5,year_group_1,reception,25100
2021,TLI5,year_group_1,reception,25441
2022,TLI5,year_group_1,reception,25587
2023,TLI5,year_group_1,reception,25083
2012,TLI7,year_group_1,reception,23114
2013,TLI7,year_group_1,reception,24030
2014,TLI7,year_group_1,reception,25736
2015,TLI7,year_group_1,reception,25644
2016,TLI7,year_group_1,reception,26312
2017,TLI7,year_group_1,reception,26373
2018,TLI7,year_group_1,reception,26126
2019,TLI7,year_group_1,reception,25393
2020,TLI7,year_group_1,reception,24871
2021,TLI7,year_group_1,reception,24323
2022,TLI7,year_group_1,reception,24341
2023,TLI7,year_group_1,reception,24431
2012,TLI6,year_group_1,reception,13896
2013,TLI6,year_group_1,reception,15113
2014,TLI6,year_group_1,reception,15741
2015,TLI6,year_group_1,reception,15640
2016,TLI6,year_group_1,reception,16077
2017,TLI6,year_group_1,reception,16061
2018,TLI6,year_group_1,reception,15944
2019,TLI6,year_group_1,reception,15462
2020,TLI6,year_group_1,reception,15048
2021,TLI6,year_group_1,reception,15133
2022,TLI6,year_group_1,reception,15148
2023,TLI6,year_group_1,reception,14881
2012,TLI4,year_group_1,reception,25109
2013,TLI4,year_group_1,reception,26012
2014,TLI4,year_group_1,reception,27173
2015,TLI4,year_group_1,reception,26587
2016,TLI4,year_group_1,reception,27050
2017,TLI4,year_group_1,reception,27066
2018,TLI4,year_group_1,reception,26658
2019,TLI4,year_group_1,reception,25853
2020,TLI4,year_group_1,reception,25134
2021,TLI4,year_group_1,reception,24554
2022,TLI4,year_group_1,reception,24172
2023,TLI4,year_group_1,reception,23934
