year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2019,TLC1,year_group_1,13606,13603,1.00022053958686
2019,TLC1,year_group_10,12613,12729,0.990886951056642
2019,TLC1,year_group_11,12091,12286,0.984128276086603
2019,TLC1,year_group_12,2868,11672,0.245716244002742
2019,TLC1,year_group_13,2452,2756,0.889695210449927
2019,TLC1,year_group_14,34,2525,0.0134653465346535
2019,TLC1,year_group_2,13995,13982,1.00092976684308
2019,TLC1,year_group_3,14363,14324,1.00272270315554
2019,TLC1,year_group_4,14578,14579,0.999931408189862
2019,TLC1,year_group_5,14308,14294,1.00097943192948
2019,TLC1,year_group_6,13721,13709,1.00087533736961
2019,TLC1,year_group_7,13635,14002,0.973789458648764
2019,TLC1,year_group_8,13197,13268,0.994648779017184
2019,TLC1,year_group_9,12996,13060,0.99509954058193
2020,TLC1,year_group_1,13312,13352,0.99700419412822
2020,TLC1,year_group_10,12870,12996,0.990304709141274
2020,TLC1,year_group_11,12490,12613,0.99024815666376
2020,TLC1,year_group_12,3238,12091,0.267802497725581
2020,TLC1,year_group_13,2587,2868,0.902022315202231
2020,TLC1,year_group_14,42,2452,0.0171288743882545
2020,TLC1,year_group_2,13600,13606,0.999559018080259
2020,TLC1,year_group_3,13996,13995,1.00007145409075
2020,TLC1,year_group_4,14273,14363,0.993733899603147
2020,TLC1,year_group_5,14567,14578,0.999245438331733
2020,TLC1,year_group_6,14260,14308,0.99664523343584
2020,TLC1,year_group_7,13317,13721,0.970556081918227
2020,TLC1,year_group_8,13606,13635,0.997873120645398
2020,TLC1,year_group_9,13130,13197,0.994923088580738
2021,TLC1,year_group_1,13359,13209,1.01135589370884
2021,TLC1,year_group_10,13040,13130,0.993145468392993
2021,TLC1,year_group_11,12738,12870,0.98974358974359
2021,TLC1,year_group_12,3178,12490,0.254443554843875
2021,TLC1,year_group_13,2819,3238,0.870599135268684
2021,TLC1,year_group_14,44,2587,0.0170081175106301
2021,TLC1,year_group_2,13440,13312,1.00961538461538
2021,TLC1,year_group_3,13637,13600,1.00272058823529
2021,TLC1,year_group_4,14061,13996,1.00464418405259
2021,TLC1,year_group_5,14320,14273,1.00329293070833
2021,TLC1,year_group_6,14591,14567,1.00164755955241
2021,TLC1,year_group_7,13881,14260,0.973422159887798
2021,TLC1,year_group_8,13235,13317,0.993842457009837
2021,TLC1,year_group_9,13510,13606,0.992944289284139
2022,TLC1,year_group_1,13049,12900,1.0115503875969
2022,TLC1,year_group_10,13459,13510,0.996225018504811
2022,TLC1,year_group_11,12825,13040,0.98351226993865
2022,TLC1,year_group_12,2949,12738,0.231512011304757
2022,TLC1,year_group_13,2783,3178,0.875707992448081
2022,TLC1,year_group_14,35,2819,0.0124157502660518
2022,TLC1,year_group_2,13559,13359,1.01497118047758
2022,TLC1,year_group_3,13581,13440,1.01049107142857
2022,TLC1,year_group_4,13816,13637,1.01312605411747
2022,TLC1,year_group_5,14213,14061,1.01081004196003
