year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,12621.2665219492,12737.3165101382,12510.4096414634
2024,TLC1,12300.8690416845,12428.56218195,12179.7375381866
2025,TLC1,11971.0127770862,12109.1637139371,11840.3484040544
2026,TLC1,11382.8010539762,11527.481817609,11244.8250411695
2027,TLC1,11797.6884348077,11960.641432708,11641.4480101964
2028,TLC1,11340.3789285815,11605.8864064439,11078.5403326353
2029,TLC1,11110.3482442976,11395.8792851077,10826.8058228426
2030,TLC1,10884.9835518686,11185.4094997975,10579.3047670117
2031,TLC1,10664.1902053126,10988.6500625584,10335.3397995821
2032,TLC1,10447.875478467,10793.9546305514,10096.7992220054
2033,TLC1,10235.9485260467,10604.4188819577,9864.56346363355
2023,TLC2,14814.6490066352,14885.338804386,14728.9470462554
2024,TLC2,14544.1851822414,14623.6881076732,14452.0546706709
2025,TLC2,13747.2385528536,13832.7475301803,13651.2964050828
2026,TLC2,13845.9021151234,13940.1375192744,13740.8030077955
2027,TLC2,14006.8770417289,14111.5974170204,13890.6491645412
2028,TLC2,13636.8480387295,13968.7317916745,13323.5281841732
2029,TLC2,13444.3594373058,13818.425344471,13107.9962263105
2030,TLC2,13254.5878758881,13671.5396945241,12894.3663612514
2031,TLC2,13067.4950025619,13530.8680129155,12690.4969168675
2032,TLC2,12883.0430067626,13377.8670033247,12482.6322061809
2033,TLC2,12701.1946116341,13233.90025064,12284.2561181508
2023,TLD1,4503.76946926533,4559.81371980513,4436.41460719679
2024,TLD1,4562.8217757619,4627.2732151203,4485.26758118615
2025,TLD1,4311.0867028152,4380.64271535548,4228.88001202484
2026,TLD1,4298.97548605415,4375.94689636833,4209.51418337034
2027,TLD1,4307.68728086775,4392.44939543546,4211.85628227519
2028,TLD1,4216.5950953853,4353.98254733152,4071.7527610827
2029,TLD1,4143.81412659939,4294.4416621756,3986.86555686001
2030,TLD1,4072.28940113245,4233.72627859252,3903.22282068414
2031,TLD1,4001.99923546883,4172.75683134563,3820.92658198007
2032,TLD1,3932.9223203634,4113.77544329528,3743.11173756647
2033,TLD1,3865.03771438142,4057.042711023,3667.41101020349
2023,TLD3,34302.44478811,34602.6020650262,33893.6782607172
2024,TLD3,33944.3645695037,34281.2384675513,33505.4997525143
2025,TLD3,33242.3040197083,33619.859723847,32781.8363562296
2026,TLD3,32046.7193031955,32447.4114139316,31569.2669892519
2027,TLD3,33033.9479855739,33487.0963396221,32506.0105624428
2028,TLD3,32431.8181673755,33319.7283664752,31576.8955517947
2029,TLD3,32076.1685598167,33024.9570895141,31105.1589027778
2030,TLD3,31724.4190309616,32740.5249278986,30695.6991329639
2031,TLD3,31376.5268122717,32470.8765208578,30303.635155689
2032,TLD3,31032.4496042116,32189.548356411,29905.3896861684
2033,TLD3,30692.1455711053,31920.192263627,29514.5448254443
2023,TLD4,16594.1749916125,16712.9483095922,16456.2531523092
2024,TLD4,16788.466996993,16922.7281289094,16632.621925998
2025,TLD4,16240.4560712857,16384.4490168484,16073.1865927494
2026,TLD4,15724.2348844453,15879.939214821,15546.527052829
2027,TLD4,16310.5655194497,16489.8146801531,16107.7720260951
2028,TLD4,15912.4194830654,16262.681163524,15561.5512510056
2029,TLD4,15742.264104243,16120.8111096135,15358.5060430781
2030,TLD4,15573.9282383471,15984.889168637,15158.8119466564
2031,TLD4,15407.3924288827,15849.7590021809,14958.6101749297
2032,TLD4,15242.6374274077,15724.0312524606,14761.9896890163
2033,TLD4,15079.6441913085,15599.3008603087,14566.0344182348
2023,TLD6,10299.7867950938,10421.6001588486,10186.6093157823
2024,TLD6,9849.97059242395,9981.11749146778,9730.09287274302
2025,TLD6,9894.126225354,10041.9650714386,9761.22297235054
2026,TLD6,9636.83917739145,9797.85077951197,9491.31220825512
2027,TLD6,9998.56395113222,10181.7066984611,9833.73592382176
2028,TLD6,9663.8955888588,9949.29715108478,9412.64648292336
2029,TLD6,9571.79849452753,9883.64539733421,9295.29753761756
2030,TLD6,9480.57908711934,9820.00843421775,9186.18665894757
2031,TLD6,9390.22900226245,9756.56876770593,9072.72173446832
2032,TLD6,9300.73995529773,9698.30706718989,8960.81336277925
