itl22cd,year,nc_year,pupil_number,upper_pi,lower_pi
TLC1,2027,year_group_8,13355.8329167322,13511.9083312784,13221.8606327914
TLC1,2028,year_group_8,13474.0772193467,13576.8040009482,13236.4051390239
TLC1,2029,year_group_8,13161.3998673406,13229.6178709601,12807.2025173666
TLC1,2030,year_group_8,12729.9820313934,12806.4925984979,12359.8190871476
TLC1,2031,year_group_8,12406.8247508162,12488.3141539186,12047.161992242
TLC1,2032,year_group_8,12074.1272109951,12156.0797137714,11719.3935283391
TLC1,2023,year_group_9,13809.3412535193,13819.3093896075,13796.4352130845
TLC1,2024,year_group_9,14172.5896908962,14210.1700304761,14138.3011665335
TLC1,2025,year_group_9,14017.9687849378,14067.7830891686,13953.8727497444
TLC1,2026,year_group_9,13791.5955471695,13923.2573359105,13733.4613051891
TLC1,2027,year_group_9,13508.2296734587,13637.1484477364,13373.7558157378
TLC1,2028,year_group_9,13302.2181371902,13459.3441019568,13167.1285486067
TLC1,2029,year_group_9,13419.9877676328,13525.2963591526,13181.6934462801
TLC1,2030,year_group_9,13108.5656070775,13176.2784237374,12755.8680992623
TLC1,2031,year_group_9,12678.8796265907,12751.7061469189,12311.911549393
TLC1,2032,year_group_9,12357.0196074021,12434.9027770026,11997.5186815751
TLC2,2023,year_group_10,15184.4770926241,15221.8025209751,15130.7083581561
TLC2,2024,year_group_10,15329.6801350634,15369.9214331453,15245.078000772
TLC2,2025,year_group_10,15719.5661614368,15781.9416828325,15631.6758624312
TLC2,2026,year_group_10,15914.5189378019,15995.414353104,15760.4920552126
TLC2,2027,year_group_10,15622.7672442244,15648.3239668256,15292.7785492149
TLC2,2028,year_group_10,15474.4522168198,15430.8772682002,15015.5156362363
TLC2,2029,year_group_10,15626.5313182868,15518.8607595526,15040.8543219152
TLC2,2030,year_group_10,15934.733783568,15946.3769445101,15345.2300548812
TLC2,2031,year_group_10,15462.2472673357,15394.4462759158,14743.7083843681
TLC2,2032,year_group_10,15216.4053487035,15149.5924168668,14499.9843407868
TLC2,2023,year_group_11,15231.8821463504,15284.6929801895,15165.2938186408
TLC2,2024,year_group_11,15039.2200746998,15095.4663425141,14943.6008536569
TLC2,2025,year_group_11,15183.034082745,15229.020074109,15058.9848265014
TLC2,2026,year_group_11,15569.1904000756,15627.0125783139,15439.4147154933
TLC2,2027,year_group_11,15762.2782285233,15833.8905378233,15570.2390506111
TLC2,2028,year_group_11,15473.3174760315,15486.9062056555,15114.043069528
TLC2,2029,year_group_11,15326.4212527427,15258.102441866,14837.7908013279
TLC2,2030,year_group_11,15477.0455423888,15366.9542132851,14865.6690746165
TLC2,2031,year_group_11,15782.2996959995,15789.7340263297,15162.6363352208
TLC2,2032,year_group_11,15314.3330576621,15220.5616670786,14577.4409755449
TLC2,2023,year_group_2,15263.5841187383,15310.8907192519,15059.9377649132
TLC2,2024,year_group_2,15020.9008437863,15074.0129287472,14783.0730839962
TLC2,2025,year_group_2,14746.6715801547,14802.9458182656,14505.5496799132
TLC2,2026,year_group_2,13938.6297364051,13995.250433907,13703.2064584358
TLC2,2027,year_group_2,14038.6669080644,14099.0740405356,13794.2489506371
TLC2,2028,year_group_2,14201.8829525211,14265.4735317193,13945.7205348022
TLC2,2029,year_group_2,13826.7023484521,14032.8039467107,13451.6284195233
TLC2,2030,year_group_2,13631.5338909173,13875.7609164131,13238.1233196519
TLC2,2031,year_group_2,13439.1203004402,13713.5778602153,13027.7526074624
TLC2,2032,year_group_2,13249.4226911648,13548.8700444088,12822.2136583573
TLC2,2023,year_group_3,15715.9712587627,16004.3650445739,15673.5011388877
TLC2,2024,year_group_3,15249.9713487475,15412.0233747695,15028.3905964541
TLC2,2025,year_group_3,15007.5045099599,15181.0262411025,14759.8986895758
TLC2,2026,year_group_3,14733.5198166639,14913.5975231403,14485.8864644902
TLC2,2027,year_group_3,13926.1986219884,14104.2077733428,13684.1025808148
TLC2,2028,year_group_3,14026.1465758731,14208.2743157271,13774.620430722
TLC2,2029,year_group_3,14189.2170567154,14374.1992052643,13928.1752339671
TLC2,2030,year_group_3,13814.3710560547,14102.2554878046,13457.2418468728
TLC2,2031,year_group_3,13619.3766587735,13946.7061164773,13247.7142002097
TLC2,2032,year_group_3,13427.1346716321,13788.0138537985,13043.0029702104
TLC2,2023,year_group_4,15594.7699968339,15631.2008637098,15419.7966253994
TLC2,2024,year_group_4,15902.3460327834,16138.5246314364,15708.7939391743
TLC2,2025,year_group_4,15430.8198573854,15566.1685038379,15070.9844354333
TLC2,2026,year_group_4,15185.4776186915,15334.5114637501,14806.1760751643
TLC2,2027,year_group_4,14908.2437571158,15058.05871887,14532.4352122487
TLC2,2028,year_group_4,14091.3485881219,14238.1285278091,13732.6841870342
TLC2,2029,year_group_4,14192.4818188827,14348.7138192485,13828.5163195095
TLC2,2030,year_group_4,14357.4861429166,14518.2733359726,13984.28619004
TLC2,2031,year_group_4,13978.1948656951,14215.0892035458,13511.6955454568
TLC2,2032,year_group_4,13780.8880413847,14042.845697244,13309.3574962424
TLC2,2023,year_group_5,15594.5340472047,15614.6579264918,15425.2329286752
TLC2,2024,year_group_5,15747.7932832969,15747.3300134118,15421.8969608606
TLC2,2025,year_group_5,16058.3874013256,16197.7305292985,15717.5222979611
TLC2,2026,year_group_5,15582.2343872486,15632.2287877879,15086.8775513252
TLC2,2027,year_group_5,15334.4847340381,15392.3409963951,14825.2872598027
TLC2,2028,year_group_5,15054.5305222023,15113.5278190502,14549.8840741122
TLC2,2029,year_group_5,14229.6195900083,14290.5180247374,13746.1730999259
TLC2,2030,year_group_5,14331.74518804,14396.7458979593,13839.2589467475
TLC2,2031,year_group_5,14498.3686128332,14567.9391211803,13993.2072841388
TLC2,2032,year_group_5,14115.3555495399,14286.3450260207,13544.737245461
TLC2,2023,year_group_6,15946.208120208,15977.8627715353,15734.0936152036
TLC2,2024,year_group_6,15794.8225009144,15752.8811165524,15434.1256575647
TLC2,2025,year_group_6,15950.0501225524,15853.9256282497,15441.8115121647
TLC2,2026,year_group_6,16264.6333572449,16295.4337398088,15750.245087829
TLC2,2027,year_group_6,15782.3648702316,15733.9322447583,15121.6515731175
TLC2,2028,year_group_6,15531.4332434656,15489.8685697427,14858.4010569883
TLC2,2029,year_group_6,15247.8834387107,15205.9456127474,14582.5224672105
TLC2,2030,year_group_6,14412.377760014,14373.4624860682,13776.0527662102
TLC2,2031,year_group_6,14515.8150085286,14479.6970009255,13870.7441559414
TLC2,2032,year_group_6,14684.578461873,14654.9412178446,14027.5743248787
TLC2,2023,year_group_7,15994.9379083469,16062.9331254225,15884.6489601281
TLC2,2024,year_group_7,15701.7119401812,15727.114980151,15415.6306493333
TLC2,2025,year_group_7,15552.6474498575,15497.8519454325,15137.190789097
TLC2,2026,year_group_7,15705.4950347973,15606.1382530102,15167.14292316
TLC2,2027,year_group_7,16015.2549034203,16027.3024285424,15464.1639301363
TLC2,2028,year_group_7,15540.3808265348,15491.1409414907,14849.5752235568
TLC2,2029,year_group_7,15293.2966237914,15240.2277535654,14597.1837290997
TLC2,2030,year_group_7,15014.0943632041,14957.4733198802,14328.9706638224
TLC2,2031,year_group_7,14191.3991247885,14138.8917568308,13540.5664505144
TLC2,2032,year_group_7,14293.2504155667,14245.3910961957,13634.4347396974
TLC2,2023,year_group_8,15776.2929991301,15830.9647500491,15758.3789195159
TLC2,2024,year_group_8,15971.9492971058,16060.0291671525,15862.8893753216
TLC2,2025,year_group_8,15679.1447658863,15719.9578326616,15397.0146382648
TLC2,2026,year_group_8,15530.2945174458,15495.0363566454,15115.0008845666
TLC2,2027,year_group_8,15682.9224232764,15598.0478945247,15143.5643239886
TLC2,2028,year_group_8,15992.2370917219,16010.402520992,15442.8973318726
TLC2,2029,year_group_8,15518.0455242405,15463.1332389783,14826.6506184257
TLC2,2030,year_group_8,15271.3164415178,15226.026328146,14578.6281333157
TLC2,2031,year_group_8,14992.5154624024,14948.655299931,14309.009381495
TLC2,2032,year_group_8,14171.0026368923,14133.1702267614,13520.4578803582
TLC2,2023,year_group_9,15344.3419191568,15360.8896580046,15291.7802806645
TLC2,2024,year_group_9,15734.6008446833,15796.549082709,15677.1479991139
TLC2,2025,year_group_9,15929.7400799628,16010.6472604103,15795.3394382381
TLC2,2026,year_group_9,15637.709345968,15663.0101447984,15328.2145928478
TLC2,2027,year_group_9,15489.2524654465,15435.9916279242,15045.1689926575
TLC2,2028,year_group_9,15641.4770201082,15538.423294883,15072.5381067133
TLC2,2029,year_group_9,15949.9742598377,15954.7649771093,15370.9748028528
TLC2,2030,year_group_9,15477.0358427681,15419.0168714527,14764.003724311
TLC2,2031,year_group_9,15230.9587932591,15167.0539623022,14521.6341668402
TLC2,2032,year_group_9,14952.8946040526,14892.7653052323,14251.2448485902
TLD1,2023,year_group_10,5526.42260618674,5549.09323548076,5516.33142117217
TLD1,2024,year_group_10,5520.24353936815,5548.2908126901,5490.22463915314
TLD1,2025,year_group_10,5590.39307147877,5619.69951485494,5557.80203742581
TLD1,2026,year_group_10,5452.91019503143,5501.89190716745,5381.27179169237
TLD1,2027,year_group_10,5532.64854395143,5583.51310095319,5458.33604256792
TLD1,2028,year_group_10,5388.0038791609,5449.11992015093,5315.08236535514
TLD1,2029,year_group_10,5341.12941430729,5414.89941672153,5267.95776252068
TLD1,2030,year_group_10,5407.20473051493,5484.63847161514,5331.64659319907
TLD1,2031,year_group_10,5242.55022274727,5319.59137738362,5170.50237662729
TLD1,2032,year_group_10,4882.38991610821,4968.90107434223,4794.56847192851
TLD1,2023,year_group_11,5378.54338385009,5424.35352046714,5364.77029430966
TLD1,2024,year_group_11,5427.07755064182,5482.23586203184,5414.81979567646
TLD1,2025,year_group_11,5421.00956105711,5479.98032024492,5396.81404806075
TLD1,2026,year_group_11,5489.89805874083,5551.49287932829,5465.42584120345
TLD1,2027,year_group_11,5354.88662629451,5431.19224137735,5297.05536890891
TLD1,2028,year_group_11,5433.19156860285,5511.76101337245,5374.26110735922
TLD1,2029,year_group_11,5291.1470908197,5378.37427131198,5232.48903789282
TLD1,2030,year_group_11,5245.11525901216,5340.85470548407,5186.53025621148
TLD1,2031,year_group_11,5310.00278043345,5412.65077384249,5250.99723486394
TLD1,2032,year_group_11,5148.30816415175,5250.24771601321,5090.84095885071
TLD1,2023,year_group_2,4867.13624318142,4880.70772007917,4855.5393861473
TLD1,2024,year_group_2,4532.76666972607,4584.10353584252,4476.89418760851
TLD1,2025,year_group_2,4592.19918031186,4652.22984284554,4529.43253225707
TLD1,2026,year_group_2,4338.84332894321,4400.48542492373,4274.05465715233
TLD1,2027,year_group_2,4326.65413497159,4396.17955567299,4255.88709274367
TLD1,2028,year_group_2,4335.42202005853,4410.49766173645,4258.50317176123
TLD1,2029,year_group_2,4243.74334399728,4371.14745455549,4128.74810157022
TLD1,2030,year_group_2,4170.4937801032,4306.30533777221,4045.42785225325
TLD1,2031,year_group_2,4098.50854776165,4244.06984447762,3962.02244803379
TLD1,2032,year_group_2,4027.76582384919,4182.94906301262,3878.10926780485
TLD1,2023,year_group_3,5044.64488352982,5064.9575007417,5034.42948424496
TLD1,2024,year_group_3,4891.03066665493,4917.75635289871,4876.58200541603
TLD1,2025,year_group_3,4555.01955949564,4614.28350152953,4499.39696642993
TLD1,2026,year_group_3,4614.74384444424,4679.74042495105,4553.09190660127
TLD1,2027,year_group_3,4360.14418322527,4427.97393176748,4296.02040231508
TLD1,2028,year_group_3,4347.89514836406,4422.48646277663,4278.78288327948
TLD1,2029,year_group_3,4356.70607797426,4436.66162003815,4281.68463793894
TLD1,2030,year_group_3,4264.57732018119,4393.82116797893,4149.88577929113
TLD1,2031,year_group_3,4190.96814932083,4331.40287265726,4066.81243851947
TLD1,2032,year_group_3,4118.62951704562,4268.17904209653,3983.57165137608
TLD1,2023,year_group_4,5012.01389686885,5048.96205822412,4999.67537180977
TLD1,2024,year_group_4,5074.01771242621,5124.55502632855,5059.05968561211
TLD1,2025,year_group_4,4919.5090650785,4972.04960986464,4902.0764550275
TLD1,2026,year_group_4,4581.54150766638,4649.29780010535,4528.49276393211
TLD1,2027,year_group_4,4641.61354181106,4715.96518110032,4582.18875363583
TLD1,2028,year_group_4,4385.5314546813,4462.77497976728,4323.46654198455
TLD1,2029,year_group_4,4373.21109888206,4456.85644429911,4306.47440918051
TLD1,2030,year_group_4,4382.07333080072,4470.56668672312,4308.4577149634
TLD1,2031,year_group_4,4289.4081463014,4425.23323110748,4177.35318462084
TLD1,2032,year_group_4,4215.37038043963,4359.63054271421,4094.23974558285
TLD1,2023,year_group_5,5080.6075994675,5117.09584493267,5065.86250789748
TLD1,2024,year_group_5,5036.40741555945,5096.76328136029,5016.92556331315
TLD1,2025,year_group_5,5098.71300426924,5163.9587549082,5078.14446908204
TLD1,2026,year_group_5,4943.45236188431,5006.35782366624,4921.08584007339
TLD1,2027,year_group_5,4603.83991319731,4681.9044175211,4551.61412171215
TLD1,2028,year_group_5,4664.20431849614,4748.47309151239,4605.11229881332
TLD1,2029,year_group_5,4406.87587744414,4493.5307373646,4345.19935058145
TLD1,2030,year_group_5,4394.49555835756,4486.29894301438,4328.13321095023
TLD1,2031,year_group_5,4403.40092284216,4501.04350961428,4331.54292350253
TLD1,2032,year_group_5,4310.28473601991,4447.87602251298,4199.1425845408
TLD1,2023,year_group_6,5229.36736084671,5241.94660393097,5215.27294100126
TLD1,2024,year_group_6,5092.65163004123,5130.13232052572,5073.64978329559
TLD1,2025,year_group_6,5048.34666568007,5107.0875794882,5024.63271645929
TLD1,2026,year_group_6,5110.79995530961,5173.87296746933,5086.77051652633
TLD1,2027,year_group_6,4955.17125381223,5018.29973854811,4929.25947010598
TLD1,2028,year_group_6,4614.7537237181,4691.74971133749,4562.30331618986
TLD1,2029,year_group_6,4675.26122818939,4760.21689697348,4617.25500808503
TLD1,2030,year_group_6,4417.32276726262,4504.14167713144,4356.58714651048
TLD1,2031,year_group_6,4404.91309953246,4495.91775571235,4338.18048188967
TLD1,2032,year_group_6,4413.8395749728,4511.22171165734,4342.88491052647
TLD1,2023,year_group_7,5417.41212755072,5463.0318037717,5356.94304351953
TLD1,2024,year_group_7,5496.63138534514,5543.8323387541,5433.00767392194
TLD1,2025,year_group_7,5352.92834729846,5410.78805625738,5290.44907551133
TLD1,2026,year_group_7,5306.35903196264,5374.52223165126,5243.48130713362
TLD1,2027,year_group_7,5372.00420244081,5445.38251645878,5306.23267148956
TLD1,2028,year_group_7,5208.42158410808,5281.67912257175,5145.11363501004
TLD1,2029,year_group_7,4850.60589610599,4934.79151033377,4765.93306606466
TLD1,2030,year_group_7,4914.20583567342,5005.10822802271,4824.93028761268
TLD1,2031,year_group_7,4643.08458103889,4735.73521222075,4554.43793899663
TLD1,2032,year_group_7,4630.04067640943,4726.73829240488,4538.55772899651
TLD1,2023,year_group_8,5558.75249896298,5567.74723741726,5550.39447606567
TLD1,2024,year_group_8,5422.0477497182,5468.70896277921,5360.18177579097
TLD1,2025,year_group_8,5501.3347945923,5547.6576002763,5436.45444830817
TLD1,2026,year_group_8,5357.5087913783,5419.10190833681,5292.2822429642
TLD1,2027,year_group_8,5310.89962717268,5380.49463511695,5247.02233586025
TLD1,2028,year_group_8,5376.60096952781,5450.78030584039,5311.10078988094
TLD1,2029,year_group_8,5212.87837528151,5288.44273933909,5151.30458879837
TLD1,2030,year_group_8,4854.75650818576,4942.56963139795,4771.28179144701
TLD1,2031,year_group_8,4918.41086954773,5011.88347251278,4828.9233577616
TLD1,2032,year_group_8,4647.05761932776,4739.43093687532,4557.71579343488
TLD1,2023,year_group_9,5493.85047617167,5517.3846118487,5464.87919385005
TLD1,2024,year_group_9,5563.66461347207,5586.61608627875,5532.99596619601
TLD1,2025,year_group_9,5426.83906205408,5471.29834562359,5354.87233051482
TLD1,2026,year_group_9,5506.19617067784,5552.30887551178,5429.61293888955
TLD1,2027,year_group_9,5362.24307243716,5419.06287034453,5287.96114134704
TLD1,2028,year_group_9,5315.5927210134,5381.79060908591,5242.60216696217
TLD1,2029,year_group_9,5381.35212181188,5454.2257800618,5305.85014798325
TLD1,2030,year_group_9,5217.48485047647,5289.11712707855,5144.31113605995
TLD1,2031,year_group_9,4859.0465210774,4940.90394177682,4765.74559540541
TLD1,2032,year_group_9,4922.75713202272,5011.14691437872,4823.08802596722
TLD3,2023,year_group_10,35667.2722716588,35725.1664416959,35591.5439118211
TLD3,2024,year_group_10,36187.0668194902,36266.1062120779,36081.6240985036
TLD3,2025,year_group_10,36829.0242092014,36936.7957766374,36699.5686513964
TLD3,2026,year_group_10,37059.208970278,37403.5062110232,36826.1788775149
TLD3,2027,year_group_10,36804.8500448962,37195.4218813685,36566.9311812667
TLD3,2028,year_group_10,36247.5819728898,36731.8056950392,36020.6891228264
TLD3,2029,year_group_10,36254.413474376,36806.3073245904,36019.8250045015
TLD3,2030,year_group_10,36385.2718013941,37117.6031929124,36144.07270528
TLD3,2031,year_group_10,35553.5223540222,36357.9121082646,35329.5073775019
TLD3,2032,year_group_10,34483.3527743852,35309.7654988691,34148.6912098535
TLD3,2023,year_group_11,35108.0738075179,35232.21064129,35054.622236196
TLD3,2024,year_group_11,35643.9961124429,35780.1275163194,35547.1744353354
TLD3,2025,year_group_11,36163.4514467634,36312.7137806434,36035.8064438352
TLD3,2026,year_group_11,36804.9899005296,36984.5905113058,36666.7462576756
TLD3,2027,year_group_11,37035.0244449845,37409.0140822049,36805.5246633563
TLD3,2028,year_group_11,36780.8315120789,37202.2070681809,36554.050773439
TLD3,2029,year_group_11,36223.9271084873,36744.1307591575,35997.0213265169
TLD3,2030,year_group_11,36230.7541517937,36793.6955426508,35983.9119533264
TLD3,2031,year_group_11,36361.527081778,37121.712665531,36109.363203238
TLD3,2032,year_group_11,35530.3204270373,36377.2229278067,35301.4584759133
TLD3,2023,year_group_2,35590.3881045334,35982.3063834686,35512.3984219719
TLD3,2024,year_group_2,34519.1088569334,34982.7443276127,34222.9211197735
TLD3,2025,year_group_2,34158.7669010775,34644.5284609548,33838.4235396554
TLD3,2026,year_group_2,33452.2719357115,33949.6156008521,33110.3231538411
TLD3,2027,year_group_2,32249.135563598,32750.8697423689,31894.1127066906
TLD3,2028,year_group_2,33242.5998651722,33777.3248917667,32853.5956473444
TLD3,2029,year_group_2,32636.6668225337,33465.0764114708,32018.672272493
TLD3,2030,year_group_2,32278.7708301611,33173.2421736455,31596.643853677
TLD3,2031,year_group_2,31924.7995505066,32889.2202517529,31179.1298912622
TLD3,2032,year_group_2,31574.7099448935,32596.4784552029,30765.5064807358
TLD3,2023,year_group_3,36598.6256464814,37084.9605837224,36513.7406654559
TLD3,2024,year_group_3,35761.9990349725,36358.9102210526,35653.9005394158
TLD3,2025,year_group_3,34685.5542570641,35324.0622865493,34399.4703961586
TLD3,2026,year_group_3,34323.4747922455,34957.1986474059,34016.5017362578
TLD3,2027,year_group_3,33613.5732256926,34247.4798325659,33292.4742661631
TLD3,2028,year_group_3,32404.6355301527,33036.9947762414,32071.5159845893
TLD3,2029,year_group_3,33402.8901513112,34081.5458740172,33036.3964011504
TLD3,2030,year_group_3,32794.0354003474,33742.9766930826,32185.1721868773
TLD3,2031,year_group_3,32434.413693041,33447.3805331206,31764.9593960425
TLD3,2032,year_group_3,32078.7356227645,33160.1476200064,31337.5495829
TLD3,2023,year_group_4,36623.9011248836,36765.6474646384,36542.499873753
TLD3,2024,year_group_4,36756.0930974131,37338.0961653049,36632.8427964028
TLD3,2025,year_group_4,35915.866857296,36564.1029411304,35786.6095403566
TLD3,2026,year_group_4,34834.7906209038,35503.3773374001,34550.1433270033
TLD3,2027,year_group_4,34471.1532907459,35141.1336453155,34150.7822781191
TLD3,2028,year_group_4,33758.1973365453,34430.9408464533,33416.873219467
TLD3,2029,year_group_4,32544.0581249953,33225.2348387188,32194.8612690985
TLD3,2030,year_group_4,33546.6077875057,34286.0013158196,33170.8161063278
TLD3,2031,year_group_4,32935.1334079648,33899.6103833332,32351.1588316583
TLD3,2032,year_group_4,32573.964409946,33595.3821632348,31934.1994422701
TLD3,2023,year_group_5,36779.5534318522,37094.0456196117,36698.1982348702
TLD3,2024,year_group_5,36786.485192821,37216.4573278289,36680.0197034034
TLD3,2025,year_group_5,36919.2640036715,37537.7515123598,36787.8986875035
TLD3,2026,year_group_5,36075.307756758,36778.9500368699,35936.8263296227
TLD3,2027,year_group_5,34989.4323109189,35720.965659816,34690.2732876651
TLD3,2028,year_group_5,34624.1806896949,35371.3285654711,34308.2013439221
TLD3,2029,year_group_5,33908.0597182314,34652.4701549503,33571.4560834582
TLD3,2030,year_group_5,32688.5305922814,33429.6357621641,32334.6566824161
TLD3,2031,year_group_5,33695.530862112,34481.5220973986,33319.1780508471
TLD3,2032,year_group_5,33081.3419713091,34099.6540269933,32512.6739329909
TLD3,2023,year_group_6,37499.8380013941,37622.1451585212,37421.3186848397
TLD3,2024,year_group_6,36932.047006509,37326.6681454412,36829.1312588851
TLD3,2025,year_group_6,36939.007507604,37388.0856944068,36811.6402698246
TLD3,2026,year_group_6,37072.3368394265,37749.6098528095,36927.2432577272
TLD3,2027,year_group_6,36224.8814226499,36968.4863357558,36070.6014053262
TLD3,2028,year_group_6,35134.5037734691,35897.2902198232,34836.8082729037
TLD3,2029,year_group_6,34767.7377639458,35547.9417907114,34440.599575116
TLD3,2030,year_group_6,34048.6476469481,34831.558180282,33702.3885781915
